,A new system has been ordered to replace the existing national dispatching,Abstract,Accession Number,Alternate Journal,An application of the framework disaggregates 2030 NO emissions from a national electricity model in an eight-state region under two climate scenarios,Author,Author Address,Cited References Count,DOI,Date,ISSN,Issue,Journal,Keywords,Keywords_01,Keywords_02,Keywords_03,Keywords_04,Keywords_05,Keywords_06,Keywords_07,Keywords_08,Keywords_09,Keywords_10,Keywords_11,Keywords_12,Keywords_13,Keywords_14,Keywords_15,Keywords_16,Keywords_17,Keywords_18,Keywords_19,Keywords_20,Keywords_21,Keywords_22,Keywords_23,Keywords_24,Keywords_25,Keywords_26,Keywords_27,Keywords_28,Keywords_29,Keywords_30,Keywords_31,Keywords_32,Keywords_33,Keywords_34,Keywords_35,Keywords_36,Language,Learning trends are demonstrated for power restoration of,Many of the developed expert systems will be maintained or modified by utility engineers. This study proposes a methodology for maintaining rule-based expert systems. The following capabilities are incorporated,Notes,Our conclusions are the following,Pages,Record Number,Reference Type,Results using the proposed cumulant method are compared against results from Monte Carlo simulations (MCSs) based on a small test system. The Numerical Results section is broken into two sections,SIDE creates the single-line diagram and the general electric specifications. This process is guided by two techniques,Short Title,The Adams method is applied to the differential state variables,The algorithm is tested in two systems,The analysis and the procedure developed are tested on two systems,The constraints on emissions will be implemented by an allowance program,The new VBRP process is based on transmission system reliability evaluation and includes the following important elements,The new index was rigorously tested on different test systems. The results were obtained on a static two-bus test system and on the dynamic Belgian-French 32-bus test system that includes full dynamic models of all power-system components crucial to the voltage instability analysis. The results show advantages of the proposed index,The new simulator features,The optimal hydro scheduling problem is formulated as a large scale linear programming algorithm and is solved using a commercially-available linear programming package. The selected objective function requires minimization of the value of energy used by turbines and spilled during the study period.  Alternative formulations of the objective function are also discussed.  The system model incorporates the following elements,The proposed approach has been successfully tested on two power systems,The proposed infrastructure uses modern intelligent electronic devices (IEDs) named universal monitoring protection and control units (UMPCUs) that are capable of handling three key data sets for the component that they are attached to,The proposed procedure reduces the complexity by formulating the problem as a complementarity problem. A discussion is offered then on the specific problem of droop formulation,The proposed technique utilizes a combination of forecasts from several load forecasting models (sub-models). The parameter estimation may thus be split into two parts,The short note paper addresses new and evolving requirements placed on control center databases. Among the issues addressed are,The validity and effectiveness of the algorithm is verified by means of two examples,These algorithms have been designed by,This algorithm is applied to an important operational planning problem,This comparison demonstrates both theoretically and through simulation that,This paper addresses,This paper highlights the alternative to spilling wind to provide frequency response capability,This paper presents a multiobjective decision support model which allows the consideration of the main concerns that have an important role in LM,This system has the following features,Times Cited,Title,To this model we apply variable splitting and Lagrange relaxation to decompose the problem into one subproblem for the hydrological constraints and one subproblem for each hydro plant. In order to find feasible solutions we use a combination of network programming and heuristic search. The dual,Type 1,Type 2,URL,Volume,We found five aspects causing start-up costs,We propose a model composed of three elements,Year,probability,University,Country
8746,,"A new open source mapping of IEC 61850-7-2 to web services has been defined and implemented. This letter describes work which is useful for rapidly implementing user interfaces-particularly web-based interfaces-for monitoring and controlling intelligent electronic devices from multiple vendors. The web service mapping has been implemented using the Hypertext Transfer Protocol, with a message format in JavaScript Object Notation. This approach requires a simple and ubiquitous software stack for its implementation, which is a significant advantage over existing client-server communications mappings. The use of an open source paradigm allows for the rapid iteration and refinement of the design, implementation, and testing of the internal details of the proposed protocol stack in a collaborative manner. These developments are of immediate interest to users of IEC 61850, and are particularly relevant to the IEC 61850 standardization process.",WOS:000356810900041,Ieee T Smart Grid,,"Blair, S. M. and Booth, C. D.","Univ Strathclyde, Inst Energy & Environm, Dept Elect & Elect Engn, Glasgow G1 1XW, Lanark, Scotland",10,10.1109/Tsg.2015.2394495,Jul,1949-3053,4,Ieee Transactions on Smart Grid,automation and control,code generation,communications,iec 61850,ied monitoring,power system protection,rapid-prototyping,user interfaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,Cl2xl,,1992-1993,14467,Journal Article,,,A Practical and Open Source Implementation of IEC 61850-7-2 for IED Monitoring Applications,,,,,,,,,,,,,,,,,,,,,,0,A Practical and Open Source Implementation of IEC 61850-7-2 for IED Monitoring Applications,,,,<Go to ISI>://WOS:000356810900041,6,,,2015,,Univ Strathclyde,Scotland
8854,,"This paper presents a topology for dc grids which enables very robust dc fault protection with moderate costs, good operating flexibility, and simple controls. It is postulated that radial dc systems are best suited for limited-size local dc grids. Radial topology enables robust and fast protection selectivity using only local signals and exploiting the advantages of hybrid dc circuit breakers (CBs). To enable flexible expansion options to national/international systems, it is suggested to interconnect star points of radial systems using dc/dc converters. DC/dc converters enable inherent isolation of dc faults and provide firewall between radial dc grids. Each interconnecting cable is protected by a dc/dc at one end and a hybrid CB at the other end. The control options for dc/dc converter and the radial grids are analyzed. A detailed simulation model of six terminal dc grid with two-star points is presented. The power systems computer aided design (PSCAD) simulation results confirm dc fault isolation and good control performance of the proposed topology for a range of dc fault contingencies.",WOS:000350338100042,Ieee T Smart Grid,,"Jovcic, D., Taherbaneh, M., Taisne, J. P. and Nguefeu, S.","Univ Aberdeen, Aberdeen AB24 3UE, Scotland",12,10.1109/Tsg.2014.2365542,Mar,1949-3053,2,Ieee Transactions on Smart Grid,dc/dc power conversion,dc power systems,dc power transmission,high voltage dc (hvdc) converters,hvdc transmission,wind energy,wind farms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,Cc4qn,,903-910,14575,Journal Article,,,Offshore DC Grids as an Interconnection of Radial Systems: Protection and Control Aspects,,,,,,,,,,,,,,,,,,,,,,3,Offshore DC Grids as an Interconnection of Radial Systems: Protection and Control Aspects,,,,<Go to ISI>://WOS:000350338100042,6,,,2015,,Univ Aberdeen,Scotland
8963,,"Technical innovation in power distribution networks is pointing toward a decentralized control vision to deal with the issues in design and operations related to distributed energy resources. Thus, decentralized approaches to power flow management (PFM) are of significant importance from the distributed network operator (DNO) perspective. In this paper, a new hybrid distributed control approach is proposed to deal with thermal overload issues. The control algorithm is based on constraint satisfaction problem that is applied to solve the network constraint problem. The novelty of this control approach consists in the joint control of both distributed generation and demand response units for PFM in an autonomous regional control environment. The implementation of this demand-side management, integrated active network management, and distributed control technique contributes to network reinforcement deferral, economy of supply, and efficient capital expenditure. Simulation has been implemented in a medium voltage interconnected test network with a substation controller and a network simulator. The control actions successfully achieve the desired objectives and are evaluated in comparison analysis. This new hybrid distributed control technique has potential to benefit the DNO planning and operation activities in the development of future decentralized smart grids.",WOS:000346731400027,Ieee T Smart Grid,,"Luo, T. Y., Dolan, M. J., Davidson, E. M. and Ault, G. W.","Univ Strathclyde, Inst Energy & Environm, Glasgow G1 1XW, Lanark, Scotland",18,10.1109/Tsg.2014.2327482,Jan,1949-3053,1,Ieee Transactions on Smart Grid,active network management (anm),constraint satisfaction problem (csp),demand response (dr)/demand-side management (dsm),distributed control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,Ax1um,,271-278,14684,Journal Article,,,Assessment of a New Constraint Satisfaction-Based Hybrid Distributed Control Technique for Power Flow Management in Distribution Networks with Generation and Demand Response,,,,,,,,,,,,,,,,,,,,,,2,Assessment of a New Constraint Satisfaction-Based Hybrid Distributed Control Technique for Power Flow Management in Distribution Networks with Generation and Demand Response,,,,<Go to ISI>://WOS:000346731400027,6,,,2015,,Univ Strathclyde,Scotland
9031,,"Inverter-dominated microgrids impose significant challenges on the distribution network, as inverters are well known for their limited contribution to fault current, undermining the performance of traditional overcurrent protection schemes. This paper introduces a new protection scheme based on the initial current traveling wave utilizing an improved mathematical morphology (MM) technology, with simplified polarity detection and new logics introduced for meshed networks and feeders with single-end measurement. The proposed protection scheme provides ultrafast response and can be adapted to varied system operational modes, topologies, fault conditions, and load conditions. Only low-bandwidth communication is required to achieve high-speed operation and adequate discrimination level in meshed networks. Simulation in PSCAD/EMTDC verifies both the sensitivity and stability of the proposed protection scheme under different microgrid operational scenarios.",WOS:000342163500005,Ieee T Smart Grid,,"Li, X. Y., Dysko, A. and Burt, G. M.","Univ Strathclyde, Dept Elect & Elect Engn, Glasgow G1 1XW, Lanark, Scotland",34,10.1109/Tsg.2014.2320365,Sep,1949-3053,5,Ieee Transactions on Smart Grid,initial current traveling wave,inverter-dominated microgrid,mathematical morphology,microgrid protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,Ap6bw,,2211-2218,14752,Journal Article,,,Traveling Wave-Based Protection Scheme for Inverter-Dominated Microgrid Using Mathematical Morphology,,,,,,,,,,,,,,,,,,,,,,1,Traveling Wave-Based Protection Scheme for Inverter-Dominated Microgrid Using Mathematical Morphology,,,,<Go to ISI>://WOS:000342163500005,5,,,2014,,Univ Strathclyde,Scotland
9037,,This paper presents a high speed current differential implementation approach for smart dc distribution systems capable of sub-millisecond fault detection. The approach utilizes the natural characteristics of dc differential current measurements to significantly reduce fault detection times compared to standard applications and hence meet requirements for dc converter protection (around 2 ms). Analysis is first developed to help quantify protection implementation challenges for a given dc system. Options for implementing the proposed technique are then illustrated. Results of scaled hardware testing are presented which validate the overall protection operating times in a low voltage environment. These results show the implementation approach can consistently achieve protection system operating within the order of a few microseconds.,WOS:000342163500048,Ieee T Smart Grid,,"Fletcher, S. D. A., Norman, P. J., Fong, K., Galloway, S. J. and Burt, G. M.","Univ Strathclyde, Inst Energy & Environm, Dept Elect & Elect Engn, Glasgow G1 1XW, Lanark, Scotland",19,10.1109/Tsg.2014.2306064,Sep,1949-3053,5,Ieee Transactions on Smart Grid,fault currents,dc power systems,microgrid,power system protection,control strategy,short-circuit,microgrids,network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,Ap6bw,,2610-2617,14758,Journal Article,,,High-Speed Differential Protection for Smart DC Distribution Systems,,,,,,,,,,,,,,,,,,,,,,11,High-Speed Differential Protection for Smart DC Distribution Systems,,,,<Go to ISI>://WOS:000342163500048,5,,,2014,,Univ Strathclyde,Scotland
9043,,"It is generally accepted that if dynamic electricity pricing tariffs were to be introduced, their effectiveness in controlling domestic loads will be curtailed if consumers were relied on to respond in their own interests. The complexities of relating behavior to load to price are so burdensome that at least some degree of automation would be required to take advantage of pricing signals. However, a major issue with home automation is fitting in with the lifestyles of individual consumers. Truly smart appliances that can learn the details of their routine operation may be several years away from widespread adoption making integrated home energy management systems unfeasible. Similarly, usage patterns of these same appliances may be substantially different from household to household. The contribution of this paper is the proposal and demonstration of a set of probabilistic models that act in a framework to reduce appliance usage data into contextual knowledge that accounts for variability in patterns in usage. Using sub-metered load data from various domestic wet appliances, the proposed technique is demonstrated learning the appliance operating likelihood surfaces from no prior knowledge.",WOS:000342163500028,Ieee T Smart Grid,,"Stephen, B., Galloway, S. and Burt, G.","Univ Strathclyde, Inst Energy & Environm, Glasgow G1 1XW, Lanark, Scotland",30,10.1109/Tsg.2014.2318375,Sep,1949-3053,5,Ieee Transactions on Smart Grid,demand response,energy management,smart grid,smart home,life-cycle,consumption,products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,Ap6bw,,2432-2439,14764,Journal Article,,,Self-Learning Load Characteristic Models for Smart Appliances,,,,,,,,,,,,,,,,,,,,,,3,Self-Learning Load Characteristic Models for Smart Appliances,,,,<Go to ISI>://WOS:000342163500028,5,,,2014,,Univ Strathclyde,Scotland
9046,,"Low voltage direct current (LVDC) distribution systems have the potential to support future realization of smart grids and enabling of increased penetration of distributed renewables, electric vehicles, and heat pumps. They do, however, present significant protection challenges that existing schemes based on dc fuses and conventional electro-mechanical circuit breakers cannot manage due to the nature of dc faults and slow device performance. Therefore, this paper presents an advanced protection scheme that addresses the outstanding challenges for protecting an LVDC last mile distribution network. The scheme takes advantage of advanced local measurements and communications that will be naturally integrated in smart grids, and the excellent level of controllability of solid state circuit breakers. It thus provides fast dc fault detection and interruption during dc transient periods, in addition to achieving fault limitation and fast reliable restoration. The introductory part of the paper quantifies the potential benefits of LVDC last mile distribution networks, and discusses the potential LVDC architectures that best utilize the existing plant. Based on the new LVDC architectures, a typical U.K. LV network is energized using dc and modeled, and is used as a case study for investigating the protection issues and evaluating the new protection scheme performance through simulation.",WOS:000342163500047,Ieee T Smart Grid,,"Emhemed, A. A. S. and Burt, G. M.","Univ Strathclyde, Inst Energy & Environm, Dept Elect & Elect Engn, Glasgow G1 1XW, Lanark, Scotland",21,10.1109/Tsg.2014.2335111,Sep,1949-3053,5,Ieee Transactions on Smart Grid,distributed energy resources,low voltage direct current (lvdc) distribution systems,power system protection,smart grid,solid state circuit breakers,dc,systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,Ap6bw,,2602-2609,14767,Journal Article,,,An Advanced Protection Scheme for Enabling an LVDC Last Mile Distribution Network,,,,,,,,,,,,,,,,,,,,,,6,An Advanced Protection Scheme for Enabling an LVDC Last Mile Distribution Network,,,,<Go to ISI>://WOS:000342163500047,5,,,2014,,Univ Strathclyde,Scotland
9195,,"With conventional generation capacity being constrained on environmental grounds and renewable alternatives carrying capacity uncertainties, increasingly accurate forecasts of demand are likely to be required in future power systems: highly distributed renewable generation penetrating low voltage networks must be matched to small dynamic loads, while spinning reserves of conventional generation that are required to maintain security of supply, must be reduced to more efficient margins. Domestic loads, likely to form significant proportions of the loads on islanded power systems such as those in remote rural communities, are currently modeled with homogenous and coarse load profiles developed from aggregated data. An objective of AMR deployment is to clarify the nature and variability of the residential LV customer. In this paper, an algorithm for tracking the consistency of the behavior of small loads is presented. This would allow them to be assessed for their availability to provide demand services to the grid. In the method presented, significant changes in behavior are detected using Bayesian changepoint analysis which tracks a multivariate Gaussian representation of a residential load profile on a day to day basis. A hypothetical single phase feeder, representative of an islanded rural power system, is used to illustrate the detected heterogeneity of load behavior consistency.",WOS:000331985300036,Ieee T Smart Grid,,"Stephen, B., Isleifsson, F. R., Galloway, S., Burt, G. M. and Bindner, H. W.","Univ Strathclyde, Inst Energy & Environm, Adv Elect Syst Res Grp Inst, Glasgow G1 1XW, Lanark, Scotland",26,10.1109/Tsg.2013.2286698,Mar,1949-3053,2,Ieee Transactions on Smart Grid,automaticmeter reading (amr),bayesian statistics,demand characterization,lv network,customer classification,systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,Ab7qh,,888-895,14916,Journal Article,,,Online AMR Domestic Load Profile Characteristic Change Monitor to Support Ancillary Demand Services,,,,,,,,,,,,,,,,,,,,,,3,Online AMR Domestic Load Profile Characteristic Change Monitor to Support Ancillary Demand Services,,,,<Go to ISI>://WOS:000331985300036,5,,,2014,,Univ Strathclyde,Scotland
9200,,"Generation connected to electrical distribution systems requires reliable and timely detection of loss-of-mains (islanding). Passive loss-of-mains detection relays typically use measurements of parameters such as frequency, phase, and the magnitudes of voltage and current. If a part of the power network becomes islanded and there is a very close match between generation and demand of both active and reactive power, there is a risk that the relay will not be able to detect the loss-of-mains (LOM) event quickly, or perhaps at all. This is the ""non-detection zone""or NDZ. This paper proposes a combination of 2 generator control techniques which allow the NDZ to be avoided even when the generator has significant inertia. Firstly, the natural instability (when islanded) of a grid-connected control scheme consisting of integral and droop controls is recognized and exploited. Secondly, a simple strategy is added which makes occasional small, steady-state adjustments to the reactive power output of the generator. The scheme has been tested in the laboratory and shows that the 2 second detection time required by IEEE 1547 can be achieved, even when an exact match of active power generation and demand is initially configured, and the generator has a significant inertia.",WOS:000331985300007,Ieee T Smart Grid,,"Roscoe, A. J., Burt, G. M. and Bright, C. G.","Univ Strathclyde, Glasgow G1 1XW, Lanark, Scotland",29,10.1109/Tsg.2013.2279016,Mar,1949-3053,2,Ieee Transactions on Smart Grid,ac generators,ac generator excitation,islanding,loss-of-mains,power generation,power systems,power system control,power system protection,power system security,protective relaying,reactive power,impedance measurement,frequency relays,performance,protection,rocof,schemes,quality,system,,,,,,,,,,,,,,,,,,,English,,,Ab7qh,,602-611,14921,Journal Article,,,Avoiding the Non-Detection Zone of Passive Loss-of-Mains (Islanding) Relays for Synchronous Generation by Using Low Bandwidth Control Loops and Controlled Reactive Power Mismatches,,,,,,,,,,,,,,,,,,,,,,3,Avoiding the Non-Detection Zone of Passive Loss-of-Mains (Islanding) Relays for Synchronous Generation by Using Low Bandwidth Control Loops and Controlled Reactive Power Mismatches,,,,<Go to ISI>://WOS:000331985300007,5,,,2014,,Univ Strathclyde,Scotland
9240,,"In this article we describe our efforts of extending demand-side control concepts to the application in portable electronic devices, such as laptop computers, mobile phones and tablet computers. As these devices feature built-in energy storage (in the form of batteries) and the ability to run complex control routines, they are well-suited for the implementation of smart charging concepts. We developed simple hardware and software based prototypes of smart charging controllers for a laptop computer that steer the charging process depending on the frequency of the electricity grid and in case of the software implementation also based on the battery charge status. If similar techniques are incorporated into millions of devices in UK households, this can contribute significantly to the stability of the electricity grid, help to mitigate the short-term power production fluctuations from renewable energy sources and avoid the high cost of building and maintaining conventional power plants as standby reserve.",WOS:000329517300033,Ieee T Smart Grid,,"Hild, S., Leavey, S., Graf, C. and Sorazu, B.","Univ Glasgow, Sch Phys & Astron, Glasgow G12 8QQ, Lanark, Scotland",21,10.1109/Tsg.2013.2281853,Jan,1949-3053,1,Ieee Transactions on Smart Grid,demand side control,smart charging,smart grids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,287CR,,328-336,14961,Journal Article,,,Smart Charging Technologies for Portable Electronic Devices,,,,,,,,,,,,,,,,,,,,,,0,Smart Charging Technologies for Portable Electronic Devices,,,,<Go to ISI>://WOS:000329517300033,5,,,2014,,Univ Glasgow,Scotland
9267,,"This paper presents an evaluation of the main characteristics of two power flow management (PFM) methodologies against a traditional inter-trip approach typically used by distribution network operators. The two PFM algorithms were developed, by the authors, for real-time operation with an aim to implement them in distribution networks with growing penetrations of renewable DG. The first PFM approach is modelled as a constraint satisfaction problem (CSP), while the second is based on an optimal power flow (OPF) approach. These PFM algorithms are deployed on real substation hardware to simulate the monitoring and control of MV distribution network power flows through DG real power regulation. Multiple scenarios are presented to the closed-loop PFM test environment to demonstrate the algorithms ability of detecting and alleviating thermal overloads and recognizing when the constraint has passed. The main objective of this paper is the quantification of the resultant curtailment levels, for the two approaches, which are compared to that of a traditional inter-trip scheme for the same circuit overload duration. The results demonstrate that taking an active approach to managing power flows can significantly increase the output of DG units in a thermally constrained network.",WOS:000329517300015,Ieee T Smart Grid,,"Dolan, M. J., Davidson, E. M., Kockar, I., Ault, G. W. and McArthur, S. D. J.","Univ Strathclyde, Inst Energy & Environm, Glasgow G1 1XW, Lanark, Scotland",25,10.1109/Tsg.2013.2267617,Jan,1949-3053,1,Ieee Transactions on Smart Grid,active network management,distributed generation,intelligent systems,optimal power flow,smart grids,connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,287CR,,149-157,14988,Journal Article,,,Reducing Distributed Generator Curtailment Through Active Power Flow Management,,,,,,,,,,,,,,,,,,,,,,8,Reducing Distributed Generator Curtailment Through Active Power Flow Management,,,,<Go to ISI>://WOS:000329517300015,5,,,2014,,Univ Strathclyde,Scotland
9425,,"This paper presents a novel active power flow management (PFM) method for managing multiple distributed generator (DG) units connected to medium voltage distribution networks. The method uses the artificial intelligence technique of constraint programming to autonomously manage DG real power outputs and offers flexible and network agnostic characteristics. The method is assessed using multiple scenarios on two real case study networks to examine simulated closed-loop control actions under certain thermal excursions. The test cases are explored with algorithms implemented, in software, on commercially available substation computing hardware to identify computation timescales and investigate algorithm robustness when presented with measurement error. The archival value of this paper is in the specification and evaluation of a novel application of the constraint programming technique for online control of DG in thermally constrained distribution networks.",WOS:000325487800017,Ieee T Smart Grid,,"Dolan, M. J., Davidson, E. M., Ault, G. W., Bell, K. R. W. and McArthur, S. D. J.","Univ Strathclyde, Inst Energy & Environm, Glasgow G1 1XW, Lanark, Scotland",18,10.1109/Tsg.2012.2234148,Jun,1949-3053,2,Ieee Transactions on Smart Grid,active network management,distributed control,distributed generation,smart grids,networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,232IU,,798-805,15146,Journal Article,,,Distribution Power Flow Management Utilizing an Online Constraint Programming Method,,,,,,,,,,,,,,,,,,,,,,9,Distribution Power Flow Management Utilizing an Online Constraint Programming Method,,,,<Go to ISI>://WOS:000325487800017,4,,,2013,,Univ Strathclyde,Scotland
9429,,"This paper investigates methods for dc fault current fast interruption in high-power dc networks. A four terminal 1.2 GW dc transmission grid is used as a test system. The study compares four semiconductor-based devices for dc fault isolation: series hybrid dc breaker, half bridge and full bridge dc chopper, and LCL thyristor converter. The study considers performance of devices, costs and losses, and also application with larger dc grids. A hybrid dc CB has lowest losses, but the component sizing crucially depends on the speed of fault detection. It is demonstrated that fast communication between various devices in the dc grid is mandatory but might be very challenging. On the other hand, dc choppers and LCL converter component sizing is not dependent on the speed of protection, and there is no need for communication across dc grids. Additionally, they offer the capability of voltage stepping and dc cable power regulation. The LCL converter provides inherent fault current interruption and needs no overrating for dc faults. It also gives better efficiency compared to dc choppers. The performance of these dc breakers is demonstrated using detailed transient PSCAD simulation for dc faults.",WOS:000325487800055,Ieee T Smart Grid,,"Hajian, M., Jovcic, D. and Wu, B.","Univ Aberdeen, Dept Elect Engn, Aberdeen AB24 3UE, Scotland",13,10.1109/Tsg.2013.2238260,Jun,1949-3053,2,Ieee Transactions on Smart Grid,dc circuit breaker,dc grid,dc-dc converter,high voltage dc transmission,hvdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,232IU,,1171-1179,15150,Journal Article,,,Evaluation of Semiconductor Based Methods for Fault Isolation on High Voltage DC Grids,,,,,,,,,,,,,,,,,,,,,,15,Evaluation of Semiconductor Based Methods for Fault Isolation on High Voltage DC Grids,,,,<Go to ISI>://WOS:000325487800055,4,,,2013,,Univ Aberdeen,Scotland
9548,,"A decentralized voltage control is proposed for distributed generation (DG) units to provide short and long-term voltage support in distribution networks. Local controllable zones are used to determine the voltage control boundaries for each DG unit. The number of zones and their size depend on the number, location and size of the DG units, and can be reconfigured in real time in response to network topology changes. The performance and value of the proposed control approach are demonstrated under various operating scenarios. The study is based on the IEEE 33-bus radial distribution network implemented in DIgSILENT PowerFactory.",WOS:000325485000003,Ieee T Smart Grid,,"Pachanapan, P., Anaya-Lara, O., Dysko, A. and Lo, K. L.","Univ Strathclyde, Dept Elect & Elect Engn, Glasgow G2 2PQ, Lanark, Scotland",31,10.1109/Tsg.2012.2205715,Dec,1949-3053,4,Ieee Transactions on Smart Grid,decentralized voltage control,distributed generation,hierarchical distributed control,local controllable zone,smart grid,system,generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,232HY,,1594-1602,15269,Journal Article,,,Adaptive Zone Identification for Voltage Level Control in Distribution Networks With DG,,,,,,,,,,,,,,,,,,,,,,12,Adaptive Zone Identification for Voltage Level Control in Distribution Networks With DG,,,,<Go to ISI>://WOS:000325485000003,3,,,2012,,Univ Strathclyde,Scotland
9594,,"The characteristic behavior of physically compact, multiterminal dc networks under electrical fault conditions can produce demanding protection requirements. This represents a significant barrier to more widespread adoption of dc power distribution for microgrid applications. Protection schemes have been proposed within literature for such networks based around the use of non-unit protection methods. This paper shows however that there are severe limitations to the effectiveness of such schemes when employed for more complex microgrid network architectures. Even current differential schemes, which offer a more effective, though costly, protection solution, must be carefully designed to meet the design requirements resulting from the unique fault characteristics of dc microgrids. This paper presents a detailed analysis of dc microgrid behavior under fault conditions, illustrating the challenging protection requirements and demonstrating the shortcomings of non-unit approaches for these applications. Whilst the performance requirements for the effective operation of differential schemes in dc microgrids are shown to be stringent, the authors show how these may be met using COTS technologies. The culmination of this work is the proposal of a flexible protection scheme design framework for dc microgrid applications which enables the required levels of fault discrimination to be achieved whilst minimizing the associated installation costs.",WOS:000325485000054,Ieee T Smart Grid,,"Fletcher, S. D. A., Norman, P. J., Galloway, S. J., Crolla, P. and Burt, G. M.","Univ Strathclyde, Dept Elect & Elect Engn, Inst Energy & Environm, Glasgow G1 1XW, Lanark, Scotland",29,10.1109/Tsg.2012.2198499,Dec,1949-3053,4,Ieee Transactions on Smart Grid,dc power systems,fault currents,microgrid,power system protection,systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,232HY,,2079-2087,15315,Journal Article,,,Optimizing the Roles of Unit and Non-unit Protection Methods Within DC Microgrids,,,,,,,,,,,,,,,,,,,,,,16,Optimizing the Roles of Unit and Non-unit Protection Methods Within DC Microgrids,,,,<Go to ISI>://WOS:000325485000054,3,,,2012,,Univ Strathclyde,Scotland
9632,,"The heterogeneity of domestic loads presents distribution network operators with operational uncertainties which may become problematic as generation capacity shrinks and network infrastructure ages. High resolution meter advances recorded by increasingly ubiquitous Smart Meters can be seen as representing base loads along with aggregations of multiple domestic appliances-in this letter, a Bayesian formulation of the finite mixture probability distribution is employed to enumerate and capture generalizations of these, from which compact representations of domestic load profiles can be formed.",WOS:000325484500050,Ieee T Smart Grid,,"Stephen, B. and Galloway, S. J.","Univ Strathclyde, Inst Energy & Environm, Adv Elect Syst Res Grp, Glasgow G1 1XW, Lanark, Scotland",6,10.1109/Tsg.2012.2198314,Sep,1949-3053,3,Ieee Transactions on Smart Grid,clustering methods,load modeling,power systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,232HT,,1571-1572,15353,Journal Article,,,Domestic Load Characterization Through Smart Meter Advance Stratification,,,,,,,,,,,,,,,,,,,,,,6,Domestic Load Characterization Through Smart Meter Advance Stratification,,,,<Go to ISI>://WOS:000325484500050,3,,,2012,,Univ Strathclyde,Scotland
