,Abstract,Accession Number,Alternate Journal,Author,Author Address,Cited References Count,DOI,Date,ISSN,Issue,Journal,Keywords,Keywords_01,Keywords_02,Keywords_03,Keywords_04,Keywords_05,Keywords_06,Keywords_07,Keywords_08,Keywords_09,Keywords_10,Keywords_11,Keywords_12,Keywords_13,Keywords_14,Keywords_15,Keywords_16,Keywords_17,Keywords_18,Language,Notes,Pages,Record Number,Reference Type,Short Title,Times Cited,Title,URL,Volume,Year
1132,"In this paper, the price elasticity of electrical demand is studied in a smart grid framework where electricity loads are scheduled by distributed Energy Management Controller (EMC) units. It is shown that different price responsive behaviors of electricity loads are results from interactions between their utilities to customers as a function of time and electricity prices. Based on this observation, a parametric utility model is introduced, from which the price elastic behaviors of aggregated loads are effectively modeled as a set of multi-dimensional demand-price functions. The developed demand elasticity model is further utilized in determining the optimal price signal for Real-Time Pricing (RTP) based Demand Response (DR) programs. Considering price elastic behaviors of customers, it is shown that the optimal real-time prices to induce the desired power consumption behaviors from customers for social welfare maximization can be effectively pre-calculated by utility company using the developed demand elasticity model without the need for excessive information exchange among end users and utility companies. Typical results of the proposed methods are further illustrated through numerical examples from a 6-bus test system.",WOS:000325485000018,Ieee T Smart Grid,"Yu, R. S., Yang, W. X. and Rahardja, S.","ASTAR, Inst Infocomm Res, Signal Proc Dept, Singapore, Singapore",20,10.1109/Tsg.2012.2217400,Dec,1949-3053,4,Ieee Transactions on Smart Grid,demand elasticity,demand response,demand side management,energy management,power system economics,real-time pricing,optimal power-flow,electricity prices,elasticity,,,,,,,,,,,English,232HY,1734-1742,15293,Journal Article,A Statistical Demand-Price Model With Its Application in Optimal Real-Time Price,19,A Statistical Demand-Price Model With Its Application in Optimal Real-Time Price,<Go to ISI>://WOS:000325485000018,3,2012
1133,"Smart grid is a modern infrastructure for improving the efficiency and reliability of power grid by integrating automated control, sensing and metering technologies, modern communication infrastructure and modern energy management techniques. Security and quality-of-service (QoS) are two most critical requirements for the communications network in smart grid. Frequency hopping (FH) technology, due to its inherent security, is a promising candidate technology in the physical layer of smart gird communication infrastructure. Unfortunately, all the existing FH systems can support only a single level of QoS due to the fact that traditional FH sequence sets can provide the same level of Hamming cross-correlation. In this paper, an FH-based communication network is developed for smart grid, particularly the advanced smart metering (AMI), to address the above two key challenges. A novel type of FH sequence set which meets the multi-level QoS requirement is designed. Then, the data traffic in AMI is investigated and modeled as a general Poisson process which is validated by real measurements of power consumptions. With the proposed sequence set and data model, the analytic performance in terms of error probabilities for the proposed FH communication with M-ary frequency-shift keying (FSK) modulation is derived for a slow Rayleigh fading channel. The analytic results are validated by numerical simulation results.",WOS:000325485000028,Ieee T Smart Grid,"Zeng, Q., Li, H. S. and Peng, D. Y.","Southwest Jiaotong Univ, Sch Informat Sci & Technol, Chengdu 610031, Peoples R China",28,10.1109/Tsg.2012.2214067,Dec,1949-3053,4,Ieee Transactions on Smart Grid,frequency-hopping (fh),multi-level quality-of-service (qos),fh sequence set design,error probability,multiple access,smart grid,no-hit-zone,sequences,system,,,,,,,,,,,English,232HY,1841-1852,15294,Journal Article,Frequency-Hopping Based Communication Network With Multi-Level QoSs in Smart Grid: Code Design and Performance Analysis,2,Frequency-Hopping Based Communication Network With Multi-Level QoSs in Smart Grid: Code Design and Performance Analysis,<Go to ISI>://WOS:000325485000028,3,2012
1134,"For grid-connected microgrids with high penetration of photovoltaic (PV) generation, overvoltage caused by reverse power flow is a major factor that limits PV power output. To tackle the challenge, this paper proposes a new online overvoltage prevention (OOP) control strategy to maintain PV terminal voltages within specified range while maximizing the PV energy yields. The proposed method is based on a precise active power limit prediction using the dynamic Thevenin equivalent. The active power output of PV array can be modulated in real time such that the voltage at a point of interconnection (POI) is always maintained within a specified range without triggering overvoltage protection. Simulation results using the IEEE 33-bus single-phase test system and IEEE 34-bus three-phase system have validated the effectiveness and accuracy of the proposed control method.",WOS:000325485000053,Ieee T Smart Grid,"Wang, Y., Zhang, P., Li, W. Y., Xiao, W. D. and Abdollahi, A.","Univ Connecticut, Dept Elect & Comp Engn, Storrs, CT 06269 USA",29,10.1109/Tsg.2012.2222679,Dec,1949-3053,4,Ieee Transactions on Smart Grid,distribution system,microgrid,overvoltage prevention,photovoltaic generator,thevenin equivalent,distributed generation,distribution network,voltage control,reconfiguration,rise,,,,,,,,,,English,232HY,2071-2078,15295,Journal Article,Online Overvoltage Prevention Control of Photovoltaic Generators in Microgrids,18,Online Overvoltage Prevention Control of Photovoltaic Generators in Microgrids,<Go to ISI>://WOS:000325485000053,3,2012
1135,"This paper presents a system architecture for load management in smart buildings which enables autonomous demand side load management in the smart grid. Being of a layered structure composed of three main modules for admission control, load balancing, and demand response management, this architecture can encapsulate the system functionality, assure the interoperability between various components, allow the integration of different energy sources, and ease maintenance and upgrading. Hence it is capable of handling autonomous energy consumption management for systems with heterogeneous dynamics in multiple time-scales and allows seamless integration of diverse techniques for online operation control, optimal scheduling, and dynamic pricing. The design of a home energy manager based on this architecture is illustrated and the simulation results with Matlab/Simulink confirm the viability and efficiency of the proposed framework.",WOS:000325485000063,Ieee T Smart Grid,"Costanzo, G. T., Zhu, G. C., Anjos, M. F. and Savard, G.","DTU Tech Univ Denmark, DK-4000 Roskilde, Denmark",27,10.1109/Tsg.2012.2217358,Dec,1949-3053,4,Ieee Transactions on Smart Grid,autonomous demand side management,optimal load control,real-time scheduling,smart buildings,smart grid,,,,,,,,,,,,,,,English,232HY,2157-2165,15296,Journal Article,A System Architecture for Autonomous Demand Side Load Management in Smart Buildings,42,A System Architecture for Autonomous Demand Side Load Management in Smart Buildings,<Go to ISI>://WOS:000325485000063,3,2012
1136,"Vehicle-to-grid (V2G) as an essential network component of smart grid, provides services by periodically collecting the charging status of a battery vehicle (BV). A BV is normally associated with a default interest group (e. g., power grid operator). When the BV accesses its default charging or communication point, it works in the home mode. The BV may move around and temporarily access other aggregators, and then it works in the visiting mode. In this paper, we first identify that, for an aggregator, BVs have different security challenges when they work in different modes. Then, we propose an aggregated-proofs based privacy-preserving authentication scheme (AP3A) to achieve simultaneous identification and secure identification for different working mode BVs. In AP3A, BVs are differentiated into either home or visiting mode, and multiple BVs can be simultaneously authenticated by an aggregator to conserve communication resources. In addition, the aggregated pseudo-status variation is presented to realize that multiple BVs' power status can be collected as a whole without revealing any individual privacy. We perform comprehensive analysis on the proposed scheme, including attack analysis, security analysis, and performance analysis. It is shown that AP3A can resist major attacks for security protection and privacy preservation, and can be an efficient authentication approach for V2G networks.",WOS:000325485000017,Ieee T Smart Grid,"Liu, H., Ning, H. S., Zhang, Y. and Yang, L. T.","Beihang Univ, Sch Elect & Informat Engn, Beijing 100191, Peoples R China",29,10.1109/Tsg.2012.2212730,Dec,1949-3053,4,Ieee Transactions on Smart Grid,authentication,privacy,security,smart grid,vehicle-to-grid (v2g),renewable energy,issues,,,,,,,,,,,,,English,232HY,1722-1733,15297,Journal Article,Aggregated-Proofs Based Privacy-Preserving Authentication for V2G Networks in the Smart Grid,18,Aggregated-Proofs Based Privacy-Preserving Authentication for V2G Networks in the Smart Grid,<Go to ISI>://WOS:000325485000017,3,2012
1137,"This paper presents a dc arc model to simplify the study of a critical issue in dc microgrids: series faults. The model is derived from a hyperbolic approximation of observed arc voltage and current patterns, which permit analyzing the arc in terms of its resistance, power, energy, and quenching condition. Recent faults staged by the authors on a dc microgrid yielded enough data to develop an arc model for three fault types: constant-gap speed, fixed-gap distance, and accelerated gap. The results in this paper compare experimental and simulation results for the three fault types. It is concluded that because the instantaneous voltage, current, power, and energy waveforms produced by the model agree well with experimental results, the model is suitable for transient simulations.",WOS:000325485000052,Ieee T Smart Grid,"Uriarte, F. M., Gattozzi, A. L., Herbst, J. D., Estes, H. B., Hotz, T. J., Kwasinski, A. and Hebner, R. E.","Univ Texas Austin, Ctr Electromech, Austin, TX 78705 USA",18,10.1109/Tsg.2012.2201757,Dec,1949-3053,4,Ieee Transactions on Smart Grid,arc,computer,dc,energy,fault,flash,hazard,microgrid,model,power,series,simulation,transient,systems,,,,,,English,232HY,2063-2070,15298,Journal Article,A DC Arc Model for Series Faults in Low Voltage Microgrids,11,A DC Arc Model for Series Faults in Low Voltage Microgrids,<Go to ISI>://WOS:000325485000052,3,2012
1138,"Aiming at photovoltaic (PV)-storage urban building integrated system, this paper proposes a DC microgrid with multi-layer control and smart grid communications. The paper focuses on power balancing, with load shedding and PV constrained production, and takes into account the grid availability and grid vulnerability by smart grid messages. The system behavior modeling by MATLAB Stateflow leads to the whole control strategy design, which concerns the power balancing and imposed power limits by the utility grid, while providing interface for energy management. Experimental results evaluate the feasibility of the proposed control strategy. As further development of this control design, an intelligent multi-layer supervision is suggested. This supervision, able to exchange data with the smart grid, deals with the end-user demand, forecast of photovoltaic production, prediction of load consumption, and energy management. The major technical contribution of this paper is linked to the proposed control design that permits better DC microgrid integration (avoids undesired injection, mitigates fluctuations in grid power, reduces grid peak consumption) and provides possibility to reduce the negative impact on the utility grid thanks to the supervision interface. The power balancing control interface provides possibility for advanced energy management with low speed communication.",WOS:000325485000062,Ieee T Smart Grid,"Wang, B. C., Sechilariu, M. and Locment, F.","Univ Technol Compiegne, F-60203 Compiegne, France",32,10.1109/Tsg.2012.2217764,Dec,1949-3053,4,Ieee Transactions on Smart Grid,energy management,intelligent control,photovoltaic power system,power balancing,smart grid,distributed power-generation,energy management,distribution-system,tracking,,,,,,,,,,,English,232HY,2148-2156,15299,Journal Article,Intelligent DC Microgrid With Smart Grid Communications: Control Strategy Consideration and Design,40,Intelligent DC Microgrid With Smart Grid Communications: Control Strategy Consideration and Design,<Go to ISI>://WOS:000325485000062,3,2012
1139,"This paper presents a control strategy for automatic reconnection of a microgrid after an intentional islanding. Remote signals of voltage and frequency at both sides of the coupling circuit breaker are communicated to the generating site, and used as additional signals to the voltage and speed control loops, respectively. The proposed automation strategy is simulated on a real MW-scale microgrid located at a rural area in Rio de Janeiro, Brazil, and supplied by two small hydro synchronous generators. The results show that a smooth reconnection of the microgrid to the utility grid can be achieved when the proposed automation is utilized.",WOS:000325485000033,Ieee T Smart Grid,"Assis, T. M. L. and Taranto, G. N.","Univ Fed Rio de Janeiro, BR-21321540 Rio De Janeiro, Brazil",7,10.1109/Tsg.2012.2191579,Dec,1949-3053,4,Ieee Transactions on Smart Grid,intentional islanding,microgrids,mw-scale microgrid,reconnection,remote voltage and frequency control,microgrids,,,,,,,,,,,,,,English,232HY,1877-1884,15300,Journal Article,Automatic Reconnection From Intentional Islanding Based on Remote Sensing of Voltage and Frequency Signals,8,Automatic Reconnection From Intentional Islanding Based on Remote Sensing of Voltage and Frequency Signals,<Go to ISI>://WOS:000325485000033,3,2012
1140,This paper presents a dynamic modeling and control strategy for a sustainable microgrid primarily powered by wind and solar energy. A current-source-interface multiple-input dc-dc converter is used to integrate the renewable energy sources to the main dc bus. Potential suitable applications range from a communication site or a residential area. A direct-driven permanent magnet synchronous wind generator is used with a variable speed control method whose strategy is to capture the maximum wind energy below the rated wind speed. This study considers both wind energy and solar irradiance changes in combination with load power variations. As a case study a 30-kW wind/solar hybrid power system dynamic model is explored. The examined dynamics shows that the proposed power system is a feasible option for a sustainable microgrid application.,WOS:000325485000032,Ieee T Smart Grid,"Bae, S. and Kwasinski, A.","Univ Texas Austin, Dept Elect & Comp Engn, Austin, TX 78712 USA",28,10.1109/Tsg.2012.2198498,Dec,1949-3053,4,Ieee Transactions on Smart Grid,photovoltaic power systems,power conversion,power system modeling,wind power generation,hybrid generation system,simulation,,,,,,,,,,,,,,English,232HY,1867-1876,15301,Journal Article,Dynamic Modeling and Operation Strategy for a Microgrid With Wind and Photovoltaic Resources,27,Dynamic Modeling and Operation Strategy for a Microgrid With Wind and Photovoltaic Resources,<Go to ISI>://WOS:000325485000032,3,2012
1141,"Advanced control strategies are vital components for realization of microgrids. This paper reviews the status of hierarchical control strategies applied to microgrids and discusses the future trends. This hierarchical control structure consists of primary, secondary, and tertiary levels, and is a versatile tool in managing stationary and dynamic performance of microgrids while incorporating economical aspects. Various control approaches are compared and their respective advantages are highlighted. In addition, the coordination among different control hierarchies is discussed.",WOS:000325485000042,Ieee T Smart Grid,"Bidram, A. and Davoudi, A.","Univ Texas Arlington, Renewable Energy & Vehicular Technol Lab, Arlington, TX 76011 USA",84,10.1109/Tsg.2012.2197425,Dec,1949-3053,4,Ieee Transactions on Smart Grid,hierarchical control strategies,inverters,microgrid,primary control,secondary control,tertiary control,distributed generation interface,voltage-source converters,multi-inverter systems,load-sharing control,parallel operation,control strategy,ups inverters,droop control,decentralized control,output impedance,,,,English,232HY,1963-1976,15302,Journal Article,Hierarchical Structure of Microgrids Control System,124,Hierarchical Structure of Microgrids Control System,<Go to ISI>://WOS:000325485000042,3,2012
1142,"This paper evaluates the real-time price-based demand response (DR) management for residential appliances via stochastic optimization and robust optimization approaches. The proposed real-time price-based DR management application can be imbedded into smart meters and automatically executed on-line for determining the optimal operation of residential appliances within 5-minute time slots while considering uncertainties in real-time electricity prices. Operation tasks of residential appliances are categorized into deferrable/non-deferrable and interruptible/non-interruptible ones based on appliances' DR preferences as well as their distinct spatial and temporal operation characteristics. The stochastic optimization adopts the scenario-based approach via Monte Carlo (MC) simulation for minimizing the expected electricity payment for the entire day, while controlling the financial risks associated with real-time electricity price uncertainties via the expected downside risks formulation. Price uncertainty intervals are considered in the robust optimization for minimizing the worst-case electricity payment while flexibly adjusting the solution robustness. Both approaches are formulated as mixed-integer linear programming (MILP) problems and solved by state-of-the-art MILP solvers. The numerical results show attributes of the two approaches for solving the real-time optimal DR management problem for residential appliances.",WOS:000325485000026,Ieee T Smart Grid,"Chen, Z., Wu, L. and Fu, Y.","Clarkson Univ, Elect & Comp Engn Dept, Potsdam, NY 13699 USA",33,10.1109/Tsg.2012.2212729,Dec,1949-3053,4,Ieee Transactions on Smart Grid,deferrable task,interruptible task,real-time price-based demand response management,residential appliances,robust optimization,stochastic optimization,electricity price,power,,,,,,,,,,,,English,232HY,1822-1831,15303,Journal Article,Real-Time Price-Based Demand Response Management for Residential Appliances via Stochastic Optimization and Robust Optimization,117,Real-Time Price-Based Demand Response Management for Residential Appliances via Stochastic Optimization and Robust Optimization,<Go to ISI>://WOS:000325485000026,3,2012
1143,"This paper proposes a communication-assisted protection strategy implementable by commercially available micro-processor-based relays for the protection of medium-voltage microgrids. Even though the developed protection strategy benefits from communications, it offers a backup protection strategy to manage communication network failures. The paper also introduces the structure of a relay that enables the proposed protection strategy. Comprehensive simulation studies are carried out to verify the effectiveness of the proposed protection strategy under different fault scenarios, in the PSCAD/EMTDC software environment.",WOS:000325485000055,Ieee T Smart Grid,"Zamani, M. A., Yazdani, A. and Sidhu, T. S.","Univ Western Ontario, Dept Elect & Comp Engn, London, ON N6A 5B9, Canada",40,10.1109/Tsg.2012.2211045,Dec,1949-3053,4,Ieee Transactions on Smart Grid,communication-assisted protection strategy,distributed generation,electronically coupled distributed generators,microgrid,microprocessor-based relays,smart grid,impedance fault-detection,distributed generation,distribution networks,distribution-system,components,operation,scheme,relay,,,,,,English,232HY,2088-2099,15304,Journal Article,A Communication-Assisted Protection Strategy for Inverter-Based Medium-Voltage Microgrids,22,A Communication-Assisted Protection Strategy for Inverter-Based Medium-Voltage Microgrids,<Go to ISI>://WOS:000325485000055,3,2012
1144,"Centralized generation is being supplemented or replaced fast by distributed generation, a new way of thinking about electricity generation, transmission and distribution. Understanding the significance and prospects of self-excited induction generators (SEIGs) in distributed wind power generation (DWPG), this paper firstly presents a comprehensive suitability analysis of commercially available niche copper-rotor induction motor (CRIM) and conventional aluminum-rotor induction motor (ARIM) to be used as induction generators in the above application, through experimental investigations performed on two industrial 7.5 hp CRIM and ARIM. The results of the performance analyses on the two machines provide data for development of a novel control scheme comprising of wavelet transforms and particle swarm optimization technique, proposed next, to alleviate the problem of voltage regulation (VR) associated with the SEIGs. The developed controller for VR is implemented on a low cost embedded system, hence making it economical and flexible for patenting. The developed embedded system is validated initially through an actuator performing mechanical switching of requisite capacitances and finally by integrating it with another actuator, namely, the static synchronous compensator (STATCOM), for efficient voltage regulation. Finally, the tested results are presented.",WOS:000325485000038,Ieee T Smart Grid,"Lu, X. M., Iyer, K. L. V., Mukherjee, K. and Kar, N. C.","Univ Windsor, Ctr Hybrid Automot Res & Green Energy, Windsor, ON N9B 3P4, Canada",31,10.1109/Tsg.2012.2197643,Dec,1949-3053,4,Ieee Transactions on Smart Grid,aluminum-rotor machine,copper-rotor machine,discrete wavelet transform,particle swarm optimization,static synchronous compensator,voltage regulation,particle swarm optimization,neural-network,controller,design,compensator,systems,loads,,,,,,,English,232HY,1923-1934,15305,Journal Article,A Wavelet/PSO Based Voltage Regulation Scheme and Suitability Analysis of Copper- and Aluminum-Rotor Induction Machines for Distributed Wind Power Generation,5,A Wavelet/PSO Based Voltage Regulation Scheme and Suitability Analysis of Copper- and Aluminum-Rotor Induction Machines for Distributed Wind Power Generation,<Go to ISI>://WOS:000325485000038,3,2012
1145,"A smart building energy system usually contains multiple energy sources such as power grids, autonomous generators, renewable resources, storage devices, and schedulable loads. Storage devices such as batteries, ice/heat storage units, and water tanks play an important role in reducing energy cost in building energy systems since they can help sufficiently utilize renewable energy resources and time-of-use electricity prices. It is important to plan, schedule, and coordinate all the storage devices together with schedulable loads in a building facilitated by microgrid technology. To consider the above problem with uncertainties in solar radiation and demand profiles, a stochastic optimization problem is formulated and solved by the scenario tree method. The best combination and the optimal capacities of storage devices for specific building energy systems are then determined. Furthermore, the optimal operating strategy of building energy systems can be obtained. The performance analysis on the storage devices is conducted and the numerical results show that thermal storage devices (e. g., ice storage units, water tanks) are good for saving energy costs but batteries may not be economical due to their high investment cost and short lifetime. It is also observed that the aforementioned uncertainties have an impact on selecting which type and capacity of storage device should be used.",WOS:000325485000061,Ieee T Smart Grid,"Xu, Z. B., Guan, X. H., Jia, Q. S., Wu, J., Wang, D. and Chen, S. Y.","Xi An Jiao Tong Univ, Moe Klinns Lab, Xian 710049, Peoples R China",15,10.1109/Tsg.2012.2218836,Dec,1949-3053,4,Ieee Transactions on Smart Grid,building energy saving,mixed integer programming,optimal capacities and types,storage devices,,,,,,,,,,,,,,,,English,232HY,2136-2147,15306,Journal Article,Performance Analysis and Comparison on Energy Storage Devices for Smart Building Energy Management,31,Performance Analysis and Comparison on Energy Storage Devices for Smart Building Energy Management,<Go to ISI>://WOS:000325485000061,3,2012
1146,"A microgrid is capable of providing highly reliable power supply to sensitive loads like semiconductor fabrication or computer data processing equipment. This is especially required when the sensitive loads are located in distribution systems that also contain several single-phase and/or nonlinear loads. Voltage source inverter (VSI) based distributed energy resources can provide power quality conditioning support. They require filters to accurately detect unbalance and harmonics in the system. The state-of-the-art filtering techniques in three-phase power systems involve employing complex bandpass filters that pass frequencies within a band without much attenuation. Such methods however give good dynamic performance only when there is a wide separation between the desired and undesired frequencies. In power distribution systems containing imbalances and harmonic generating loads, the gap between the two frequencies may be very small, and therefore such methods don't offer good performance. This paper proposes improved methods of filtering signals in three-phase, three-wire power systems, especially when there is a narrow gap between the desired and undesired frequencies. The proposed techniques contain both complex bandpass and bandstop sections and are designed on three-phase space-vector quantities. Simulation and experimental results are presented to validate these novel filtering concepts.",WOS:000325485000049,Ieee T Smart Grid,"Illindala, M. and Venkataramanan, G.","Ohio State Univ, Dept Elect & Comp Engn, Columbus, OH 43210 USA",19,10.1109/Tsg.2012.2197834,Dec,1949-3053,4,Ieee Transactions on Smart Grid,active filters,bandpass filters,bandstop filters,digital signal processors,distributed energy resources,microgrids,negative sequence filters,positive sequence filters,voltage source inverter,operation,,,,,,,,,,English,232HY,2039-2047,15307,Journal Article,Frequency/Sequence Selective Filters for Power Quality Improvement in a Microgrid,7,Frequency/Sequence Selective Filters for Power Quality Improvement in a Microgrid,<Go to ISI>://WOS:000325485000049,3,2012
1147,"A home energy management (HEM) system is an integral part of a smart grid that can potentially enable demand response applications for residential customers. This paper presents an intelligent HEM algorithm for managing high power consumption household appliances with simulation for demand response (DR) analysis. The proposed algorithm manages household loads according to their preset priority and guarantees the total household power consumption below certain levels. A simulation tool is developed to showcase the applicability of the proposed algorithm in performing DR at an appliance level. This paper demonstrates that the tool can be used to analyze DR potentials for residential customers. Given the lack of understanding about DR potentials in this market, this work serves as an essential stepping-stone toward providing an insight into how much DR can be performed for residential customers.",WOS:000325485000064,Ieee T Smart Grid,"Pipattanasomporn, M., Kuzlu, M. and Rahman, S.","Virginia Tech, Adv Res Inst, Arlington, VA 22203 USA",14,10.1109/Tsg.2012.2201182,Dec,1949-3053,4,Ieee Transactions on Smart Grid,customer choice,demand response (dr),home energy management (hem),load priority,smart appliance,,,,,,,,,,,,,,,English,232HY,2166-2173,15308,Journal Article,An Algorithm for Intelligent Home Energy Management and Demand Response Analysis,88,An Algorithm for Intelligent Home Energy Management and Demand Response Analysis,<Go to ISI>://WOS:000325485000064,3,2012
1148,"Demand response is seen as a key technology to help the introduction of large volumes of intermittent renewable energy and to help mitigate the effects of the increasing load on the electricity distribution grid. A large and diverse number of control mechanisms are proposed for demand response, while multiple industrial companies are designing their own proprietary solutions. This situation demands for standardized and generalized interfaces for smart devices, i.e., interfaces based on as few indicators as possible that reflect the flexibility state, while hiding all implementation details and specifics of the device. Electric domestic hot water buffers are devices that inherently contain a lot of flexibility, i.e., the charging can be shifted without impact on the comfort of the user. This article presents four key indicators for domestic hot water buffers that meet above requirements: P, the rated power, E-max, the energy required to fully charge the buffer, SoC, the state of charge, and E-min, the energy required before the SoC increases. The correct behavior of these key indicators has been validated by means of simulations and measurements on a lab prototype. The integration of the smart buffer into a time of use demand response system is demonstrated with a test setup and measurement results.",WOS:000325485000059,Ieee T Smart Grid,"Vanthournout, K., D'hulst, R., Geysen, D. and Jacobs, G.","Res Inst VITO, Dept Energy, B-2400 Mol, Belgium",17,10.1109/Tsg.2012.2205591,Dec,1949-3053,4,Ieee Transactions on Smart Grid,demand response,smart grids,thermal buffers,model,load,,,,,,,,,,,,,,,English,232HY,2121-2127,15309,Journal Article,A Smart Domestic Hot Water Buffer,27,A Smart Domestic Hot Water Buffer,<Go to ISI>://WOS:000325485000059,3,2012
1149,"This paper presents a robust system-oriented control design approach for distributed generation (DG) converters in microgrids. The conceptual design of the proposed interface is to provide control system robustness against system-level interactions without strict knowledge of complete microgrid system dynamics. To increase the robustness against converter-microgrid interactions, the microgrid system is modeled by a dynamic equivalent circuit, which might include uncertainties induced due to microgrid impedance variation and interactions with the equivalent microgrid bus-voltage. The equivalent microgrid model along with local load interactions and uncertainties are augmented with the DG interface power circuit model to develop a robust voltage controller. To account for power angle interaction dynamics, an angle feed-forward control approach is adopted, where the angle of the equivalent microgrid bus, as seen by each DG unit, is estimated and used for feed-forward control. Unlike conventional droop controllers, the proposed scheme yields two-degree-of-freedom controller, resulting in stable and smooth power sharing performance over a wide range for the static droop gain and also at different loading conditions. A theoretical analysis and comparative simulation and experimental results are presented to demonstrate the robustness and effectiveness of the proposed control scheme.",WOS:000325485000024,Ieee T Smart Grid,"Kahrobaeian, A. and Mohamed, Y. A. R. I.","Univ Alberta, Dept Elect & Comp Engn, Edmonton, AB T6G 2V4, Canada",24,10.1109/Tsg.2012.2217763,Dec,1949-3053,4,Ieee Transactions on Smart Grid,distributed generation,microgrids,interaction dynamics,voltage control,power sharing control,autonomous operation,connected inverters,ac,impedance,stability,,,,,,,,,,English,232HY,1800-1811,15310,Journal Article,Suppression of Interaction Dynamics in DG Converter-Based Microgrids Via Robust System-Oriented Control Approach,2,Suppression of Interaction Dynamics in DG Converter-Based Microgrids Via Robust System-Oriented Control Approach,<Go to ISI>://WOS:000325485000024,3,2012
1150,"Modern power systems require increased intelligence and flexibility in the control and optimization to ensure the capability of maintaining a generation-load balance, following serious disturbances. This issue is becoming more significant today due to the increasing number of microgrids (MGs). The MGs mostly use renewable energies in electrical power production that are varying naturally. These changes and usual uncertainties in power systems cause the classic controllers to be unable to provide a proper performance over a wide range of operating conditions. In response to this challenge, the present paper addresses a new online intelligent approach by using a combination of the fuzzy logic and the particle swarm optimization (PSO) techniques for optimal tuning of the most popular existing proportional-integral (PI) based frequency controllers in the ac MG systems. The control design methodology is examined on an ac MG case study. The performance of the proposed intelligent control synthesis is compared with the pure fuzzy PI and the Ziegler-Nichols PI control design methods.",WOS:000325485000039,Ieee T Smart Grid,"Bevrani, H., Habibi, F., Babahajyani, P., Watanabe, M. and Mitani, Y.","Univ Kurdistan, Sanandaj 6617715175, Iran",28,10.1109/Tsg.2012.2196806,Dec,1949-3053,4,Ieee Transactions on Smart Grid,fuzzy logic,intelligent control,microgrid,optimal tuning,particle swarm optimization,secondary frequency control,renewable energy-sources,stability,systems,,,,,,,,,,,English,232HY,1935-1944,15311,Journal Article,Intelligent Frequency Control in an AC Microgrid: Online PSO-Based Fuzzy Tuning Approach,39,Intelligent Frequency Control in an AC Microgrid: Online PSO-Based Fuzzy Tuning Approach,<Go to ISI>://WOS:000325485000039,3,2012
1151,"The connection of wind power generation into ac microgrids (MGs) is steadily increasing. This incorporation can bring problems onto the power quality and dynamics of the electrical grid due to the lack of controllability over the wind. In this work, a flywheel energy storage (FES) is used to mitigate problems introduced by wind generation into MGs. A dynamic model of the FES device is briefly presented and a technique to control the power exchanged between the device and the power system is proposed. The control technique has three modes, namely: voltage control (VC), frequency control (FC), and active power stabilization (APS). Simulation tests on the behavior of the FES device are analyzed when it works in combination with wind generation in the electrical microgrid. Results show an acceptable performance of the proposed control techniques along with a high effectiveness to smooth the active power fluctuations of wind generation.",WOS:000325485000040,Ieee T Smart Grid,"Suvire, G., Molina, M. and Mercado, P.","Consejo Nacl Invest Cient & Tecn, Argentinean Natl Council Sci & Technol Res, San Juan, Argentina",29,10.1109/Tsg.2012.2208769,Dec,1949-3053,4,Ieee Transactions on Smart Grid,distributed generation (dg),flywheel energy storage (fes),frequency control,fuzzy logic controller (flc),microgrid (mg),voltage control,wind power generation,control strategies,system,,,,,,,,,,,English,232HY,1945-1954,15312,Journal Article,Improving the Integration of Wind Power Generation Into AC Microgrids Using Flywheel Energy Storage,22,Improving the Integration of Wind Power Generation Into AC Microgrids Using Flywheel Energy Storage,<Go to ISI>://WOS:000325485000040,3,2012
1152,"Remote metering is a key task in smart grid to collect the power load information for the pricing in power market. A wireless communication infrastructure is assumed for the smart meter network. The dynamics of the power market are assumed to be a Markov decision process (MDP) by modeling the power load evolution as a two-state Markov chain. The fundamental elements of the MDP are discussed and the optimal strategy is obtained from dynamic programming. Due to the curse of dimensions, the myopic strategy is proposed to significantly simplify the algorithm. The validity of the proposed scheduling algorithm is demonstrated using numerical simulations. For example, for price insensitive power users, the average price and power generation errors are reduced by 60% and 40% using the myopic approach, compared with the simple round robin schedule, in certain circumstances.",WOS:000325485000005,Ieee T Smart Grid,"Li, H. S., Lai, L. F. and Qiu, R. C.","Univ Tennessee, Dept Elect Engn & Comp Sci, Knoxville, TN 37996 USA",33,10.1109/Tsg.2012.2208768,Dec,1949-3053,4,Ieee Transactions on Smart Grid,power market,scheduling,smart grid,wireless communications,time,stability,deadlines,systems,,,,,,,,,,,,English,232HY,1611-1620,15313,Journal Article,Scheduling of Wireless Metering for Power Market Pricing in Smart Grid,5,Scheduling of Wireless Metering for Power Market Pricing in Smart Grid,<Go to ISI>://WOS:000325485000005,3,2012
